stateId,state_name,residential_2016,commercial_2016,electric_power_2016,industrial_2016,transportation_2016,total_2016,pop_2016,residential_2017,commercial_2017,electric_power_2017,industrial_2017,transportation_2017,total_2017,pop_2017,residential_2018,commercial_2018,electric_power_2018,industrial_2018,transportation_2018,total_2018,pop_2018,,
MT,Montana,1.458706,1.380617,16.119179,3.884953,7.917459,30.760915,1042137,1.66243,1.484109,15.542946,4.044495,8.076395,30.810375,1053862,1.702723,1.700638,15.146366,4.152071,8.114707,30.816505,1061818,,
NC,North Carolina,5.098319,5.25494,51.148937,10.366281,53.635834,125.504312,10161802,4.5174,5.074898,47.507928,10.391913,54.120227,121.612366,10275758,5.529247,5.243505,48.359625,10.7163,54.899723,124.748399,10391358,,
ND,North Dakota,0.958181,1.050508,29.265096,15.387075,8.111352,54.772212,756114,1.011579,1.154713,29.310792,16.634112,8.663493,56.774689,756755,1.175246,1.176811,30.313082,17.277447,9.130747,59.073333,760062,,
NE,Nebraska,2.204332,1.822135,21.391531,9.555262,13.521569,48.49483,1906483,2.2063,1.924801,20.680711,9.607319,13.629156,48.048286,1916998,2.793776,2.341152,23.813536,9.313267,14.214709,52.476439,1925512,,
NH,New Hampshire,2.51725,1.386805,2.373514,0.749975,6.794356,13.8219,1343694,2.761965,1.307917,1.829154,0.828203,6.836095,13.563334,1350395,3.006304,1.465534,2.055327,0.817962,6.916604,14.261731,1355064,,
NJ,New Jersey,13.558445,10.039634,19.686053,9.696239,52.775662,105.756033,8873584,13.883536,9.716234,16.737085,8.705877,50.343519,99.38625,8888147,15.781156,10.716174,17.366171,9.138727,52.401547,105.403775,8891730,,
NM,New Mexico,2.103264,1.698864,23.224582,7.367424,13.995246,48.389379,2092555,1.905275,1.591419,23.064336,7.606557,14.965967,49.133554,2092844,2.165412,1.718005,18.337297,7.608921,15.523423,45.353057,2093754,,
NV,Nevada,2.300469,2.267428,13.925305,3.184846,17.875549,39.553597,2919555,2.410419,2.35657,12.892186,3.542998,18.534196,39.736369,2972097,2.431686,2.406934,13.6969,3.827951,18.675305,41.038777,3030725,,
NY,New York,30.670731,21.749055,27.756827,8.486471,82.296442,170.959526,19636391,31.328729,22.080973,22.111632,8.509497,82.872101,166.902931,19593849,36.32945,23.212327,24.511966,8.632237,83.257295,175.943275,19544098,,
OH,Ohio,16.193352,10.995805,81.36812,36.372018,60.488414,205.417709,11640060,16.373809,11.169938,79.849547,36.907672,60.792156,205.093122,11665706,18.865047,12.426873,77.57218,38.989235,61.304549,209.157884,11680892,,
OK,Oklahoma,3.210994,2.908502,35.564904,23.001996,31.070456,95.756852,3928143,3.25843,2.943422,30.731328,24.389382,31.674529,92.99709,3933602,4.180157,3.265195,33.044548,24.933021,32.277068,97.699989,3943488,,
OR,Oregon,2.502275,2.12385,7.78808,5.100818,20.47135,37.986373,4093271,3.006729,2.526207,7.524722,4.999794,21.015812,39.073264,4147294,2.709226,2.423599,8.379189,4.688209,21.670164,39.870387,4183538,,
PA,Pennsylvania,18.423409,10.644035,82.677859,45.732441,60.696882,218.174625,12788468,18.477697,10.923375,77.060354,47.755022,61.199567,215.416015,12794679,21.584538,12.195898,74.865907,50.715635,61.165593,220.52757,12809107,,
RI,Rhode Island,1.812787,0.859015,2.574882,0.628911,3.774299,9.649894,1057816,1.839578,0.868923,2.80434,0.677351,3.838504,10.028695,1056554,2.290995,0.978825,3.17185,0.67584,3.988388,11.105897,1059338,,
SC,South Carolina,1.79348,2.167568,27.74876,7.618344,32.348663,71.676815,4963031,1.69039,2.157854,25.249002,7.232413,32.932381,69.262039,5027102,2.061574,2.289698,28.785874,7.395339,32.897506,73.42999,5091702,,
SD,South Dakota,0.952268,0.736569,2.636644,3.845879,6.648666,14.820026,863693,0.957565,0.765482,2.464649,3.872184,6.630319,14.690199,873732,1.150146,0.868323,2.878774,3.960387,6.738348,15.595978,879386,,
TN,Tennessee,3.636439,3.688503,36.232015,16.292409,43.639908,103.489275,6651277,3.490951,3.716622,32.324837,14.618187,44.033714,98.184311,6714748,4.572055,4.288191,26.104677,15.077958,44.62665,94.669531,6778180,,
TX,Texas,10.793591,12.627954,208.956584,206.441745,212.625376,651.445249,27914064,9.944018,12.29029,212.45159,212.633057,214.597213,661.916169,28291024,13.416675,14.940006,202.254196,231.653317,221.763902,684.028095,28624564,,
UT,Utah,3.651546,2.62342,27.734516,7.384919,17.308331,58.702732,3044241,3.855699,2.701596,27.461117,7.178498,17.646407,58.843318,3103540,3.894859,2.775264,28.635996,7.012432,18.80531,61.123861,3155153,,
VA,Virginia,5.717145,5.752493,33.779906,11.720615,50.600471,107.57063,8417651,5.592758,5.850332,28.794037,11.840145,51.200744,103.278017,8471011,6.602494,6.30037,30.629697,11.915894,52.328339,107.776794,8510920,,
VT,Vermont,1.301773,0.854333,0.004088,0.422581,3.303906,5.88668,624366,1.36509,0.766432,0.007054,0.460824,3.23528,5.83468,625132,1.458009,0.906801,0.003802,0.459376,3.020802,5.84879,624802,,
WA,Washington,5.080393,4.368593,9.587778,11.131663,47.384912,77.553339,7299961,6.1122,4.581842,10.392922,11.077139,45.405492,77.569594,7427951,5.610025,4.748232,10.14094,11.316721,45.153378,76.969297,7526793,,
WI,Wisconsin,8.652616,5.895925,38.900729,13.137016,29.671482,96.257768,5775170,8.907709,6.039128,41.177395,14.033343,29.227683,99.385259,5793147,9.915814,6.652441,39.853641,14.524089,31.02328,101.969266,5809319,,
WV,West Virginia,1.619852,1.675121,69.569716,10.333117,12.192057,95.389863,1832435,1.500425,1.618723,66.032165,11.105705,11.463965,91.720982,1818683,1.786201,1.81728,61.237354,12.252509,12.932835,90.026179,1805953,,
WY,Wyoming,0.853047,1.107987,40.719695,10.746975,7.634897,61.062602,585243,0.931248,1.025192,40.862883,12.114528,7.616453,62.550305,579994,0.951404,0.960649,40.654116,13.223116,7.850883,63.640168,579054,,
